product_id,product_name,category_id,category_name,total_revenue
prod_04725,Innovative Secondary Policy,cat_017,Hancock Inc,3708.3199999999997
prod_04496,Streamlined Zero Administration Conglomeration,cat_020,"Brewer, Bryant and Hickman",3436.4700000000003
prod_04158,Secured Zero Administration Array,cat_011,Spence PLC,3142.6499999999996
prod_03256,Digitized Real-Time Success,cat_004,Kelly-Santiago,2742.48
prod_02188,Managed Dedicated Service-Desk,cat_009,Skinner-Romero,2685.6
prod_04504,Optional Uniform Policy,cat_016,Wright-Leblanc,2619.2
prod_03639,Horizontal Executive Open System,cat_020,"Brewer, Bryant and Hickman",2509.05
prod_03495,Digitized Mission-Critical Complexity,cat_003,Bush Inc,2226.45
prod_01646,Triple-Buffered Logistical Orchestration,cat_011,Spence PLC,2185.85
prod_03695,Realigned Neutral Product,cat_018,Phillips Inc,2165.82
prod_04535,Up-Sized Mission-Critical Conglomeration,cat_024,"Patterson, Smith and Jones",2164.14
prod_04177,Fundamental Homogeneous Collaboration,cat_004,Kelly-Santiago,1869.36
prod_04280,Grass-Roots Foreground Firmware,cat_020,"Brewer, Bryant and Hickman",1863.4699999999998
prod_02097,Seamless Responsive Framework,cat_010,Burns-Rodriguez,1821.84
prod_04249,Expanded Maximized Installation,cat_010,Burns-Rodriguez,1800.88
prod_04048,Profound Didactic Product,cat_003,Bush Inc,1775.46
prod_02853,Open-Architected Static Ability,cat_018,Phillips Inc,1767.36
prod_00147,Profit-Focused Encompassing Ability,cat_020,"Brewer, Bryant and Hickman",1745.1
prod_02379,Total Content-Based Standardization,cat_022,Preston Ltd,1723.68
prod_02951,Future-Proofed Even-Keeled Parallelism,cat_002,James LLC,1718.05
prod_00095,Ergonomic Didactic Support,cat_010,Burns-Rodriguez,1706.4
prod_00641,Devolved Contextually-Based Functionalities,cat_024,"Patterson, Smith and Jones",1690.05
prod_00245,User-Friendly Multi-Tasking Data-Warehouse,cat_005,Cameron-Parsons,1683.12
prod_04194,Configurable Full-Range Concept,cat_020,"Brewer, Bryant and Hickman",1668.78
prod_01211,Persistent Needs-Based Flexibility,cat_009,Skinner-Romero,1668.52
prod_04696,Programmable Bandwidth-Monitored Workforce,cat_018,Phillips Inc,1655.64
prod_01048,Stand-Alone Multimedia Circuit,cat_019,Powell PLC,1631.2
prod_04639,Re-Engineered Composite Time-Frame,cat_024,"Patterson, Smith and Jones",1596.05
prod_00492,Multi-Tiered Local Implementation,cat_013,Smith Ltd,1581.9
prod_01616,Balanced Actuating Project,cat_002,James LLC,1580.48
prod_04326,Adaptive Empowering Product,cat_002,James LLC,1574.01
prod_01465,Seamless Heuristic Function,cat_006,"Ellis, Baker and Wright",1570.12
prod_00119,Down-Sized Fault-Tolerant Policy,cat_007,"Moore, Becker and Carlson",1555.62
prod_02709,Digitized Responsive Adapter,cat_008,Rodriguez-Graham,1554.63
prod_00273,Visionary Responsive Methodology,cat_014,"Anderson, Walls and Duncan",1549.08
prod_01788,Persevering 5Thgeneration Alliance,cat_024,"Patterson, Smith and Jones",1548.0
prod_04682,Decentralized 3Rdgeneration Pricing Structure,cat_005,Cameron-Parsons,1546.83
prod_00710,Total Intermediate Superstructure,cat_001,Baldwin Ltd,1537.52
prod_04794,Optimized Foreground Projection,cat_015,Owens-Daniel,1524.51
prod_04020,De-Engineered Disintermediate Portal,cat_020,"Brewer, Bryant and Hickman",1499.91
prod_02568,Distributed Zero-Defect Projection,cat_012,Carney-Santos,1498.71
prod_03585,Function-Based Modular Array,cat_019,Powell PLC,1496.34
prod_00865,Horizontal 4Thgeneration Info-Mediaries,cat_024,"Patterson, Smith and Jones",1494.09
prod_01887,Centralized Actuating Groupware,cat_003,Bush Inc,1493.1
prod_03320,Switchable Global Circuit,cat_023,King-Odonnell,1490.46
prod_04900,Profound Actuating Structure,cat_004,Kelly-Santiago,1489.56
prod_02388,Decentralized Multimedia Projection,cat_020,"Brewer, Bryant and Hickman",1489.53
prod_03667,Face-To-Face Client-Server Forecast,cat_019,Powell PLC,1477.86
prod_04339,Implemented 6Thgeneration Contingency,cat_023,King-Odonnell,1471.6
prod_00798,Face-To-Face Scalable Open System,cat_016,Wright-Leblanc,1460.19
prod_01356,Streamlined Client-Driven Paradigm,cat_006,"Ellis, Baker and Wright",1451.6399999999999
prod_00087,Virtual Disintermediate Solution,cat_005,Cameron-Parsons,1447.62
prod_01495,Horizontal 4Thgeneration Encoding,cat_007,"Moore, Becker and Carlson",1438.83
prod_02688,Multi-Layered Zero Tolerance Definition,cat_005,Cameron-Parsons,1416.06
prod_01575,Multi-Lateral National Graphical User Interface,cat_001,Baldwin Ltd,1402.62
prod_01069,Object-Based Directional Throughput,cat_020,"Brewer, Bryant and Hickman",1402.59
prod_03549,Fully-Configurable Neutral Collaboration,cat_010,Burns-Rodriguez,1396.26
prod_04188,Versatile 6Thgeneration Function,cat_017,Hancock Inc,1393.5
prod_01669,Operative Systemic Moratorium,cat_004,Kelly-Santiago,1392.48
prod_04638,Cross-Group 3Rdgeneration Time-Frame,cat_022,Preston Ltd,1390.02
prod_01149,Implemented Global Budgetary Management,cat_002,James LLC,1387.08
prod_04513,Assimilated Reciprocal Knowledge User,cat_016,Wright-Leblanc,1386.12
prod_04225,Virtual Multi-Tasking Architecture,cat_001,Baldwin Ltd,1382.97
prod_00195,Multi-Tiered Scalable Hub,cat_015,Owens-Daniel,1368.0
prod_03541,Down-Sized Fresh-Thinking Adapter,cat_000,"Rodriguez, Figueroa and Sanchez",1362.39
prod_03510,Front-Line Static Methodology,cat_022,Preston Ltd,1347.42
prod_00614,Synergistic Optimizing Solution,cat_021,Mitchell-Kim,1340.22
prod_00696,Team-Oriented 4Thgeneration Protocol,cat_024,"Patterson, Smith and Jones",1333.23
prod_04475,Diverse Scalable Array,cat_016,Wright-Leblanc,1323.42
prod_04609,Front-Line Neutral Neural-Net,cat_018,Phillips Inc,1319.96
prod_03756,Operative 4Thgeneration Challenge,cat_014,"Anderson, Walls and Duncan",1317.66
prod_00369,Cross-Group Systemic Functionalities,cat_006,"Ellis, Baker and Wright",1317.45
prod_04002,Exclusive 5Thgeneration Implementation,cat_019,Powell PLC,1317.09
prod_04058,Networked Even-Keeled Infrastructure,cat_022,Preston Ltd,1313.31
prod_03775,Mandatory Object-Oriented Utilization,cat_005,Cameron-Parsons,1293.69
prod_01995,Focused Client-Driven Website,cat_001,Baldwin Ltd,1291.08
prod_02297,Multi-Tiered Next Generation Portal,cat_021,Mitchell-Kim,1280.64
prod_01901,Fundamental Cohesive Strategy,cat_020,"Brewer, Bryant and Hickman",1278.48
prod_04833,De-Engineered Scalable Contingency,cat_016,Wright-Leblanc,1276.11
prod_02997,Decentralized Multi-Tasking Website,cat_018,Phillips Inc,1274.46
prod_00162,Automated Regional Architecture,cat_006,"Ellis, Baker and Wright",1263.21
prod_03982,Persevering Reciprocal Concept,cat_001,Baldwin Ltd,1260.63
prod_03889,Networked Web-Enabled Monitoring,cat_020,"Brewer, Bryant and Hickman",1260.3
prod_01387,Devolved Hybrid Installation,cat_018,Phillips Inc,1251.48
prod_02679,Switchable System-Worthy Software,cat_000,"Rodriguez, Figueroa and Sanchez",1245.24
prod_03877,Team-Oriented Web-Enabled Core,cat_018,Phillips Inc,1245.03
prod_00267,Integrated Value-Added Graphical User Interface,cat_000,"Rodriguez, Figueroa and Sanchez",1237.32
prod_01805,Reverse-Engineered 3Rdgeneration Functionalities,cat_022,Preston Ltd,1236.84
prod_01689,Versatile Object-Oriented Secured Line,cat_002,James LLC,1231.86
prod_02814,Programmable Zero-Defect Protocol,cat_008,Rodriguez-Graham,1228.68
prod_02647,Exclusive Impactful Groupware,cat_007,"Moore, Becker and Carlson",1222.77
prod_04322,Secured Heuristic Toolset,cat_019,Powell PLC,1222.44
prod_02931,Reactive Client-Driven Budgetary Management,cat_016,Wright-Leblanc,1213.76
prod_03401,Multi-Lateral Zero Administration Knowledge User,cat_024,"Patterson, Smith and Jones",1212.48
prod_00221,Innovative Logistical Project,cat_021,Mitchell-Kim,1212.21
prod_01117,Programmable Bottom-Line Model,cat_014,"Anderson, Walls and Duncan",1211.91
prod_03865,Managed Heuristic Project,cat_011,Spence PLC,1202.8
prod_02239,Automated 24/7 Extranet,cat_021,Mitchell-Kim,1197.4499999999998
prod_01316,Re-Engineered Value-Added Application,cat_017,Hancock Inc,1197.33
prod_04258,Team-Oriented Even-Keeled Moratorium,cat_005,Cameron-Parsons,1195.08
prod_04216,Multi-Layered Fresh-Thinking Installation,cat_013,Smith Ltd,1193.07
prod_01026,Visionary National Monitoring,cat_011,Spence PLC,1180.65
prod_03405,Decentralized Secondary Installation,cat_019,Powell PLC,1179.3
prod_03481,Enterprise-Wide Hybrid Migration,cat_023,King-Odonnell,1163.58
prod_02764,Customizable Actuating Framework,cat_004,Kelly-Santiago,1162.77
prod_00650,Vision-Oriented Needs-Based Hierarchy,cat_015,Owens-Daniel,1159.86
prod_01796,Assimilated Optimizing Analyzer,cat_024,"Patterson, Smith and Jones",1158.51
prod_00280,Centralized Holistic Forecast,cat_011,Spence PLC,1155.93
prod_01574,Centralized Responsive Project,cat_024,"Patterson, Smith and Jones",1149.57
prod_03036,Digitized Bandwidth-Monitored Database,cat_013,Smith Ltd,1138.38
prod_00698,Front-Line Modular Info-Mediaries,cat_011,Spence PLC,1136.31
prod_02892,Customer-Focused Modular Service-Desk,cat_023,King-Odonnell,1133.76
prod_04640,Monitored Stable Algorithm,cat_022,Preston Ltd,1133.34
prod_03239,Vision-Oriented Methodical Structure,cat_021,Mitchell-Kim,1132.83
prod_02936,Up-Sized Dynamic Approach,cat_012,Carney-Santos,1132.17
prod_04384,Programmable System-Worthy Attitude,cat_004,Kelly-Santiago,1127.31
prod_03751,Multi-Layered Modular Framework,cat_012,Carney-Santos,1126.44
prod_04488,Programmable Zero-Defect Workforce,cat_008,Rodriguez-Graham,1123.8600000000001
prod_00089,Face-To-Face Impactful Solution,cat_018,Phillips Inc,1122.63
prod_04993,Quality-Focused Intermediate Alliance,cat_003,Bush Inc,1120.89
prod_03158,Managed Bandwidth-Monitored Hub,cat_016,Wright-Leblanc,1117.7
prod_04940,Advanced Exuding Artificial Intelligence,cat_021,Mitchell-Kim,1115.74
prod_02439,Sharable Holistic Strategy,cat_006,"Ellis, Baker and Wright",1115.43
prod_03951,Programmable Systematic Installation,cat_008,Rodriguez-Graham,1107.96
prod_04651,De-Engineered Contextually-Based Analyzer,cat_017,Hancock Inc,1096.11
prod_03089,De-Engineered User-Facing Flexibility,cat_024,"Patterson, Smith and Jones",1093.08
prod_02549,Visionary Attitude-Oriented Flexibility,cat_009,Skinner-Romero,1084.14
prod_03164,Stand-Alone Web-Enabled Moratorium,cat_002,James LLC,1081.11
prod_01014,Enterprise-Wide Multi-State Architecture,cat_000,"Rodriguez, Figueroa and Sanchez",1078.5
prod_02119,Customer-Focused Methodical Encoding,cat_007,"Moore, Becker and Carlson",1072.29
prod_04056,Upgradable Uniform Productivity,cat_003,Bush Inc,1066.74
prod_03151,Grass-Roots Transitional Circuit,cat_003,Bush Inc,1063.56
prod_00498,Monitored Coherent Focus Group,cat_002,James LLC,1061.52
prod_03474,Pre-Emptive Zero Administration Neural-Net,cat_013,Smith Ltd,1060.47
prod_03673,Persistent High-Level Graphical User Interface,cat_023,King-Odonnell,1055.55
prod_01496,Object-Based Responsive Functionalities,cat_007,"Moore, Becker and Carlson",1043.86
prod_00260,User-Centric 6Thgeneration Internet Solution,cat_010,Burns-Rodriguez,1040.1
prod_03300,Seamless Dynamic Concept,cat_014,"Anderson, Walls and Duncan",1036.11
prod_03433,Decentralized Cohesive System Engine,cat_013,Smith Ltd,1034.1
prod_01483,Reverse-Engineered Radical Local Area Network,cat_020,"Brewer, Bryant and Hickman",1033.1
prod_00439,Triple-Buffered Demand-Driven Solution,cat_005,Cameron-Parsons,1032.69
prod_04636,Customizable Logistical Architecture,cat_009,Skinner-Romero,1028.46
prod_01200,Organized Incremental Concept,cat_014,"Anderson, Walls and Duncan",1020.45
prod_00657,Centralized Non-Volatile Hardware,cat_020,"Brewer, Bryant and Hickman",1018.95
prod_03981,Decentralized Bandwidth-Monitored Encryption,cat_013,Smith Ltd,1012.32
prod_04035,Optional Zero-Defect Productivity,cat_014,"Anderson, Walls and Duncan",1007.25
prod_03662,Quality-Focused Asynchronous Adapter,cat_005,Cameron-Parsons,1005.0
prod_03504,Quality-Focused Value-Added Pricing Structure,cat_011,Spence PLC,1001.06
prod_01034,Ameliorated Human-Resource Service-Desk,cat_010,Burns-Rodriguez,999.51
prod_01094,Self-Enabling Multimedia Analyzer,cat_011,Spence PLC,998.9
prod_01327,Secured Client-Server Intranet,cat_021,Mitchell-Kim,998.4
prod_02977,Streamlined Actuating Emulation,cat_017,Hancock Inc,996.0
prod_01981,Balanced Zero Administration Open Architecture,cat_021,Mitchell-Kim,993.28
prod_03955,Synergized Systemic Hierarchy,cat_022,Preston Ltd,984.39
prod_03338,Down-Sized Multi-Tasking Matrices,cat_007,"Moore, Becker and Carlson",983.04
prod_03832,Assimilated Fault-Tolerant Access,cat_015,Owens-Daniel,980.76
prod_02894,Upgradable Human-Resource System Engine,cat_014,"Anderson, Walls and Duncan",979.46
prod_04499,Reverse-Engineered National Throughput,cat_019,Powell PLC,975.2
prod_00428,Digitized Systemic Encryption,cat_023,King-Odonnell,974.58
prod_04665,User-Centric User-Facing Projection,cat_008,Rodriguez-Graham,972.34
prod_01253,Proactive Background Software,cat_024,"Patterson, Smith and Jones",969.27
prod_03248,Inverse Exuding Productivity,cat_020,"Brewer, Bryant and Hickman",959.1
prod_03090,Compatible Motivating Success,cat_021,Mitchell-Kim,957.24
prod_04830,Face-To-Face Content-Based Toolset,cat_016,Wright-Leblanc,956.94
prod_02904,Devolved 24Hour Hierarchy,cat_007,"Moore, Becker and Carlson",948.9
prod_02406,Cross-Group Next Generation Extranet,cat_011,Spence PLC,946.28
prod_04034,Exclusive Web-Enabled Adapter,cat_005,Cameron-Parsons,940.8
prod_00672,Mandatory Neutral Orchestration,cat_006,"Ellis, Baker and Wright",938.52
prod_00084,Mandatory Even-Keeled Policy,cat_000,"Rodriguez, Figueroa and Sanchez",937.68
prod_04939,Programmable Object-Oriented Open Architecture,cat_015,Owens-Daniel,935.56
prod_02311,Function-Based Dynamic Portal,cat_000,"Rodriguez, Figueroa and Sanchez",934.02
prod_02613,Versatile Executive Infrastructure,cat_023,King-Odonnell,927.3
prod_04969,Enhanced Maximized Workforce,cat_003,Bush Inc,927.15
prod_02640,Stand-Alone Analyzing Support,cat_005,Cameron-Parsons,926.55
prod_02538,Distributed Local Emulation,cat_020,"Brewer, Bryant and Hickman",925.32
prod_01926,Pre-Emptive Local Info-Mediaries,cat_008,Rodriguez-Graham,923.34
prod_02772,Realigned Dynamic Protocol,cat_016,Wright-Leblanc,922.77
prod_03610,Horizontal Fresh-Thinking Challenge,cat_011,Spence PLC,920.56
prod_01474,Re-Engineered Clear-Thinking Migration,cat_000,"Rodriguez, Figueroa and Sanchez",919.05
prod_01857,Phased User-Facing Installation,cat_019,Powell PLC,917.96
prod_04672,Assimilated Empowering Archive,cat_004,Kelly-Santiago,914.76
prod_02003,Innovative Uniform Synergy,cat_000,"Rodriguez, Figueroa and Sanchez",913.44
prod_04761,Reduced Static Matrices,cat_015,Owens-Daniel,912.24
prod_04594,Monitored Mission-Critical Local Area Network,cat_017,Hancock Inc,911.5
prod_04024,Cloned Homogeneous Challenge,cat_023,King-Odonnell,908.3
prod_01168,Business-Focused Multi-Tasking Website,cat_012,Carney-Santos,905.56
prod_01585,Mandatory Zero Tolerance Success,cat_001,Baldwin Ltd,903.33
prod_01997,Synergized High-Level Algorithm,cat_009,Skinner-Romero,901.5899999999999
prod_03526,Synchronized 4Thgeneration Data-Warehouse,cat_004,Kelly-Santiago,899.86
prod_02670,Quality-Focused Zero-Defect Concept,cat_020,"Brewer, Bryant and Hickman",894.1
prod_00964,Open-Source 5Thgeneration Open Architecture,cat_021,Mitchell-Kim,893.91
prod_02451,Open-Architected 24/7 Pricing Structure,cat_004,Kelly-Santiago,893.72
prod_03736,Configurable Context-Sensitive Customer Loyalty,cat_020,"Brewer, Bryant and Hickman",890.88
prod_03228,Devolved Modular Core,cat_005,Cameron-Parsons,889.62
prod_02840,Integrated Context-Sensitive Open System,cat_011,Spence PLC,888.78
prod_01141,Cross-Group Even-Keeled Time-Frame,cat_002,James LLC,888.78
prod_00170,Synergized Disintermediate Methodology,cat_017,Hancock Inc,888.54
prod_00785,Mandatory Transitional Conglomeration,cat_015,Owens-Daniel,888.3
prod_01152,Versatile Global Time-Frame,cat_015,Owens-Daniel,883.86
prod_00784,Managed Reciprocal Customer Loyalty,cat_007,"Moore, Becker and Carlson",881.01
prod_02413,Front-Line 5Thgeneration Core,cat_011,Spence PLC,880.28
prod_03205,Mandatory Mission-Critical Service-Desk,cat_020,"Brewer, Bryant and Hickman",878.6
prod_04738,Optional Stable Challenge,cat_021,Mitchell-Kim,876.54
prod_00332,Enterprise-Wide Static Secured Line,cat_024,"Patterson, Smith and Jones",874.02
prod_03805,Versatile Asymmetric Methodology,cat_024,"Patterson, Smith and Jones",872.72
prod_04134,Focused Static Paradigm,cat_012,Carney-Santos,872.04
prod_04241,Function-Based Tangible Website,cat_023,King-Odonnell,867.56
prod_03723,Compatible Context-Sensitive Hub,cat_012,Carney-Santos,866.8199999999999
prod_03497,Fully-Configurable Grid-Enabled Archive,cat_010,Burns-Rodriguez,866.14
prod_02684,Automated Static Frame,cat_023,King-Odonnell,865.76
prod_01811,Extended Executive Firmware,cat_000,"Rodriguez, Figueroa and Sanchez",863.1
prod_02442,Profit-Focused Executive Focus Group,cat_020,"Brewer, Bryant and Hickman",860.36
prod_00019,Intuitive Stable Capability,cat_017,Hancock Inc,860.1
prod_02793,Stand-Alone Dynamic Budgetary Management,cat_007,"Moore, Becker and Carlson",860.04
prod_01146,Robust Content-Based Knowledgebase,cat_001,Baldwin Ltd,859.6500000000001
prod_04073,Function-Based Bi-Directional Circuit,cat_021,Mitchell-Kim,857.97
prod_03571,Object-Based Didactic Protocol,cat_004,Kelly-Santiago,857.73
prod_00827,Focused Neutral Approach,cat_008,Rodriguez-Graham,857.28
prod_02207,Robust Real-Time Orchestration,cat_009,Skinner-Romero,850.58
prod_02409,Innovative 6Thgeneration Model,cat_004,Kelly-Santiago,848.94
prod_02707,Fully-Configurable Uniform Time-Frame,cat_014,"Anderson, Walls and Duncan",845.04
prod_03215,Front-Line Demand-Driven Internet Solution,cat_006,"Ellis, Baker and Wright",844.29
prod_02626,Seamless Real-Time Archive,cat_002,James LLC,843.33
prod_01259,Up-Sized Client-Driven Extranet,cat_021,Mitchell-Kim,842.4
prod_03829,User-Centric Value-Added Framework,cat_000,"Rodriguez, Figueroa and Sanchez",841.46
prod_04009,Cross-Group Regional Application,cat_018,Phillips Inc,837.27
prod_03856,Balanced Non-Volatile Internet Solution,cat_020,"Brewer, Bryant and Hickman",837.12
prod_01018,Versatile Solution-Oriented Access,cat_004,Kelly-Santiago,836.67
prod_03781,Upgradable Encompassing Architecture,cat_010,Burns-Rodriguez,831.84
prod_00685,Focused Human-Resource Array,cat_005,Cameron-Parsons,826.46
prod_02431,Pre-Emptive Bandwidth-Monitored Moderator,cat_018,Phillips Inc,823.2
prod_00042,Vision-Oriented Multi-State Matrix,cat_005,Cameron-Parsons,822.7
prod_03654,Progressive Executive Open Architecture,cat_001,Baldwin Ltd,820.98
prod_04055,Distributed Homogeneous Groupware,cat_002,James LLC,804.12
prod_03972,De-Engineered Zero Tolerance Attitude,cat_021,Mitchell-Kim,804.06
prod_00802,Fundamental Demand-Driven Encryption,cat_022,Preston Ltd,801.78
prod_02461,Profound 5Thgeneration Local Area Network,cat_013,Smith Ltd,799.82
prod_00361,Synergistic Local Hub,cat_012,Carney-Santos,795.84
prod_02029,Upgradable Intangible Complexity,cat_021,Mitchell-Kim,795.27
prod_04206,Proactive 24Hour Budgetary Management,cat_000,"Rodriguez, Figueroa and Sanchez",793.56
prod_00852,Future-Proofed Upward-Trending Instruction Set,cat_008,Rodriguez-Graham,793.38
prod_00817,Multi-Lateral 24Hour Interface,cat_009,Skinner-Romero,792.68
prod_01706,Digitized Demand-Driven Framework,cat_002,James LLC,792.21
prod_03167,Decentralized Analyzing Intranet,cat_006,"Ellis, Baker and Wright",791.34
prod_02245,User-Centric Hybrid Concept,cat_005,Cameron-Parsons,790.72
prod_03636,Customizable Cohesive Utilization,cat_015,Owens-Daniel,790.04
prod_00812,Robust Intermediate Complexity,cat_014,"Anderson, Walls and Duncan",785.28
prod_03072,Business-Focused Encompassing Matrix,cat_013,Smith Ltd,782.5
prod_00193,Advanced Empowering Monitoring,cat_011,Spence PLC,777.1500000000001
prod_00554,Cross-Group Impactful Implementation,cat_024,"Patterson, Smith and Jones",772.44
prod_03146,Synchronized Methodical Graphic Interface,cat_012,Carney-Santos,771.22
prod_00206,Quality-Focused Secondary Help-Desk,cat_018,Phillips Inc,768.51
prod_01417,Self-Enabling Multi-Tasking Array,cat_021,Mitchell-Kim,766.14
prod_00436,Visionary Uniform Software,cat_013,Smith Ltd,764.52
prod_04344,Implemented Multimedia Orchestration,cat_018,Phillips Inc,764.18
prod_00435,Persevering National Graphical User Interface,cat_011,Spence PLC,763.74
prod_00708,Profound Demand-Driven Workforce,cat_003,Bush Inc,761.72
prod_02338,Persevering Tangible Initiative,cat_005,Cameron-Parsons,758.84
prod_02799,Triple-Buffered Radical Forecast,cat_004,Kelly-Santiago,758.2
prod_04435,Open-Architected Needs-Based Collaboration,cat_013,Smith Ltd,756.6
prod_03640,Virtual Bottom-Line Infrastructure,cat_005,Cameron-Parsons,756.16
prod_02762,Up-Sized Holistic Monitoring,cat_009,Skinner-Romero,753.24
prod_03462,Horizontal Reciprocal Benchmark,cat_011,Spence PLC,752.97
prod_04116,Versatile Non-Volatile Standardization,cat_012,Carney-Santos,751.62
prod_01216,Integrated High-Level Installation,cat_008,Rodriguez-Graham,751.56
prod_02716,Diverse Contextually-Based Framework,cat_010,Burns-Rodriguez,748.78
prod_01485,Cloned Radical Benchmark,cat_004,Kelly-Santiago,748.52
prod_00788,Progressive High-Level Archive,cat_003,Bush Inc,747.2
prod_01020,Seamless Regional Encryption,cat_018,Phillips Inc,743.78
prod_04170,Persistent Attitude-Oriented Challenge,cat_001,Baldwin Ltd,742.6800000000001
prod_02271,User-Centric Discrete Middleware,cat_023,King-Odonnell,741.92
prod_02740,Digitized Zero-Defect Functionalities,cat_020,"Brewer, Bryant and Hickman",741.0
prod_03628,Focused Holistic Initiative,cat_019,Powell PLC,740.74
prod_04167,Exclusive 6Thgeneration Alliance,cat_012,Carney-Santos,738.62
prod_00012,Fundamental Context-Sensitive Paradigm,cat_011,Spence PLC,737.73
prod_03905,Polarized Mobile Encryption,cat_020,"Brewer, Bryant and Hickman",736.06
prod_01361,Digitized Upward-Trending Algorithm,cat_006,"Ellis, Baker and Wright",735.09
prod_02942,Face-To-Face Leadingedge Structure,cat_006,"Ellis, Baker and Wright",731.46
prod_03184,Multi-Tiered Tertiary Forecast,cat_003,Bush Inc,729.38
prod_01112,Visionary Homogeneous Hardware,cat_004,Kelly-Santiago,724.06
prod_00362,Organic Well-Modulated Archive,cat_004,Kelly-Santiago,724.02
prod_04439,Object-Based Human-Resource Architecture,cat_013,Smith Ltd,722.26
prod_03882,Expanded Contextually-Based Time-Frame,cat_007,"Moore, Becker and Carlson",722.12
prod_00151,Multi-Tiered Logistical Graphic Interface,cat_008,Rodriguez-Graham,718.1
prod_01292,Quality-Focused Didactic Implementation,cat_014,"Anderson, Walls and Duncan",712.83
prod_03097,Implemented Interactive Array,cat_012,Carney-Santos,711.78
prod_00215,Inverse 3Rdgeneration Conglomeration,cat_013,Smith Ltd,710.94
prod_01482,User-Centric Transitional Orchestration,cat_022,Preston Ltd,709.9
prod_00677,Cross-Group Solution-Oriented Hierarchy,cat_008,Rodriguez-Graham,709.42
prod_01766,Cloned Methodical Service-Desk,cat_011,Spence PLC,707.2
prod_01570,Profound Tertiary Throughput,cat_019,Powell PLC,701.96
prod_04220,Grass-Roots Intermediate Application,cat_000,"Rodriguez, Figueroa and Sanchez",701.44
